Building IRN,Building Name,District IRN,District Name,County,Street address,City and Zip code,Phone #,Principal,Grade Span,Open/Closed Status,Designation,Number of standards met,Number of standards possible,Enrollment,Attendance 2005-06,Performance Index Score 2005-06
032441,King Elementary School,044909,Toledo,Lucas,1415 Lawrence Ave,"Toledo, Ohio  43607-2042",(419) 243-7163,Tracy L. Knighten,K-6,Open,Academic Emergency,1,10,376,93.9,66.3
032482,Roosevelt Elementary School,050062,Springfield,Summit,3110 Farmdale Rd,"Akron, Ohio  44312-3523",(330) 798-1006,Lucille A. Brown,1-4,Open,Excellent,6,6,290,95.0,96.5
032490,Roosevelt Elementary School,050229,McDonald,Trumbull,400 Illinois Ave,"Mc Donald, Ohio  44437-1918",(330) 530-0226,Anthony J. Russo,K-6,Open,Effective,8,10,476,95.7,95.8
032508,Roosevelt High School,044164,Kent,Portage,1400 N Mantua St,"Kent, Ohio  44240-2334",(330) 673-9595,Roger B. Sidoti,9-12,Open,Excellent,12,12,1265,93.4,103.6
032524,Roosevelt Middle School,044453,Newark,Licking,621 Mount Vernon Rd,"Newark, Ohio  43055-4615",(740) 349-2320,Elizabeth E. Phelps,7-8,Open,Effective,3,5,341,94.9,91.5
032540,Roosevelt Middle School,044818,Springfield,Clark,1600 N Limestone St,"Springfield, Ohio  45503-2624",(937) 342-4160,Monte D. Brigham,6-8,Open,Continuous Improvement,1,7,520,93.6,83.2
032565,Roosevelt Elementary School,044404,Middletown,Butler,2701 Central Ave,"Middletown, Ohio  45044-4851",(513) 420-4556,Michael L. Farmer,K-6,Closed,Academic Watch,2,10,675,95.2,77.9
032581,Roosevelt Middle School,045179,Zanesville,Muskingum,1429 Blue Ave,"Zanesville, Ohio  43701-2405",(740) 450-1413,Charlene S. Lewis,6-8,Open,Effective,4,7,497,93.8,92.6
032599,Rootstown Elementary School,049213,Rootstown,Portage,4140 State Route 44,"Rootstown, Ohio  44272-9697",(330) 325-7971,Michael F. Capitena,K-5,Open,Excellent,8,8,592,95.4,103.4
032607,Rootstown/Ward Davis Bldg High School,049213,Rootstown,Portage,4140 State Route 44,"Rootstown, Ohio  44272-9697",(330) 325-7911,Andrew Hawkins,9-12,Open,Excellent,12,12,432,94.2,104.2
032615,Rootstown/Mabel Schnee Bldg Middle School,049213,Rootstown,Portage,4140 State Route 44,"Rootstown, Ohio  44272-9697",(330) 325-9956,David N. Beans,6-8,Open,Effective,6,7,308,95.6,97.6
032623,Rose Avenue Elementary School,045013,Washington Court House,Fayette,412 Rose Ave,"Washington Court Hou, Ohio  43160-1408",(740) 335-1390,Craig D. Maddux,1-5,Open,Effective,6,8,116,96.0,98.5
032631,Rose Hill Elementary School,047001,Reynoldsburg,Franklin,760 Rosehill Rd,"Reynoldsburg, Ohio  43068-1700",(614) 367-2380,Theodore Frissora,K-4,Open,Excellent,6,6,321,96.4,105.2
032664,Rosedale Elementary School,044404,Middletown,Butler,4601 Sophie Ave,"Middletown, Ohio  45042-3885",(513) 420-4559,Lynda R. Gallagher,K-6,Open,Excellent,9,10,296,96.2,102
032680,Roselawn Condon Elementary School,043752,Cincinnati Public Schools,Hamilton,7735 Greenland Pl,"Cincinnati, Ohio  45237-1947",(513) 363-4800,Randal A. Yunker,"P,K-8",Open,Academic Watch,2,14,545,94.6,79.7
032698,Rosemore Middle School,045070,Whitehall,Franklin,4735 Kae Ave,"Whitehall, Ohio  43213-3159",(614) 417-5200,Mark L. Trace,6-8,Open,Continuous Improvement,2,7,683,94.1,83
032706,Rosemount Elementary School,049601,Clay,Scioto,4484 Rose Valley Rd,"Portsmouth, Ohio  45662-6553",(740) 353-0428,Tony A. Piguet,K-3,Open,Continuous Improvement,1,3,185,94.6,88.2
032714,Roseville Elementary School,048843,Franklin Local School District,Muskingum,PO Box 96,"Roseville, Ohio  43777-0096",(740) 697-7216,Karen A. Miller,K-4,Open,Continuous Improvement,4,6,266,95.0,89.8
032748,Ross Middle School,046144,Ross,Butler,3425 Hamilton Cleves Rd,"Hamilton, Ohio  45013-9505",(513) 863-1251,Christopher M. Saylor,5-8,Open,Effective,8,9,809,97.5,98
032755,Ross High School,046144,Ross,Butler,3601 Hamilton Cleves Rd,"Hamilton, Ohio  45013-9505",(513) 863-1252,Keith L. Klinefelter,9-12,Open,Excellent,12,12,801,96.2,101.8
032763,Rossford High School,045609,Rossford,Wood,701 Superior St,"Rossford, Ohio  43460-1250",(419) 666-5262,Ronald L. Grimm,8-12,Open,Effective,11,12,604,94.9,97.5
032789,Nettie Lee Roth Middle School @ Gardendale,043844,Dayton,Montgomery,1733 N Gettysburg Ave,"Dayton, Ohio  45427-3455",,Vacant Position,8,Closed,NC,0,0,--,--,0
032797,Rothenberg Preparatory Academy,043752,Cincinnati Public Schools,Hamilton,2120 Vine St,"Cincinnati, Ohio  45202-4928",(513) 363-5700,John Chambers,"P,K-8",Open,Academic Watch,1,14,283,95.1,62.5
032805,Upper Scioto Valley Elementary School,047522,Upper Scioto Valley,Hardin,510 S Courtright St,"McGuffey, Ohio  45859-0999",(419) 757-3231,Melanie R. Nixon,K-5,Open,Continuous Improvement,3,8,350,94.9,89
032813,Conneaut Middle School,043810,Conneaut Area,Ashtabula,230 Gateway Avenue,"Conneaut, Ohio  44030",(440) 593-7240,Linda M. Bernay,6-8,Open,Continuous Improvement,3,7,612,93.6,88.4
032821,Rowland Elementary School,044792,South Euclid-Lyndhurst,Cuyahoga,4300 Bayard Rd,"South Euclid, Ohio  44121-3124",(216) 691-2200,Maleeka K. Bussey,K-4,Open,Effective,3,6,409,95.9,90.8
032839,Roxboro Elementary School,043794,Cleveland Heights-University Heights,Cuyahoga,2405 Roxboro Rd,"Cleveland Heights, Ohio  44106-3623",(216) 371-7115,Kelli E. Cogan,K-5,Open,Effective,6,8,325,95.7,97.6
032847,Roxboro Middle School,043794,Cleveland Heights-University Heights,Cuyahoga,2400 Roxboro Rd,"Cleveland Heights, Ohio  44106-3624",(216) 371-7440,Brian A. Sharosky,6-8,Open,Continuous Improvement,2,7,560,94.5,87.9
032854,Grace L Roxbury Elementary School,046607,Solon,Cuyahoga,6795 Solon Blvd,"Solon, Ohio  44139-4128",(440) 349-6220,Carla R. Rodenbucher,"K,1-4,UNG",Open,Excellent,6,6,475,96.5,109.5
032862,Royal Manor Elementary School,046961,Gahanna-Jefferson,Franklin,299 Empire Dr,"Gahanna, Ohio  43230-2411",(614) 478-5585,Rick Oxley,K-5,Open,Effective,7,8,294,96.2,96.6
032888,Royal View Elementary School,044545,North Royalton,Cuyahoga,13220 Ridge Rd,"North Royalton, Ohio  44133-3837",(440) 582-9080,Andrea M. Lasko,1-4,Open,Excellent,6,6,424,96.4,107.1
032904,Royalview Elementary School,045104,Willoughby-Eastlake,Lake,31500 Royalview Dr,"Willowick, Ohio  44095-4256",(440) 944-3130,Tamee H. Tucker,K-6,Open,Excellent,8,8,808,95.6,99.8
032912,Rozelle Elementary School,043901,East Cleveland,Cuyahoga,12917 Phillips Ave,"East Cleveland, Ohio  44112-4113",(216) 268-6660,Marli C. Harris,K-7,Open,Continuous Improvement,4,12,429,93.9,86.8
032920,Otsego Middle School,050724,Otsego,Wood,23939 2nd St,"Grand Rapids, Ohio  43522-9733",(419) 832-2261,Ray A. Graves,7-8,Open,Effective,4,5,271,95.7,91.9
032938,Rubyville Elementary School,049601,Clay,Scioto,3019 Maple Benner Rd,"Portsmouth, Ohio  45662-8837",(740) 353-0272,Tony A. Piguet,4-6,Open,Effective,5,8,133,95.7,91
032946,Mapleton Middle School,045831,Mapleton,Ashland,PO Box 37,"Nova, Ohio  44859-0037",(419) 652-3540,Ronald S. Smith,6-8,Open,Effective,5,7,239,94.9,94.1
032961,Rushmore Elementary School,048751,Huber Heights,Montgomery,7701 Berchman Dr,"Huber Heights, Ohio  45424-2112",(937) 237-6365,Robert D. Crabtree,K-5,Open,Excellent,8,8,386,95.0,101.4
032995,Rushville Middle School,046870,Fairfield Union Local,Fairfield,8155 Rushville Rd NE,"Rushville, Ohio  43150-9716",(740) 536-7321,Michael R. Myers,5-6,Open,Effective,4,5,290,95.6,97
033027,Harry Russell Elementary School,045054,West Carrollton,Montgomery,123 Elementary Dr,"West Carrollton, Ohio  45449-1701",(937) 859-5121,Anthony W. Mennett,1-5,Open,Continuous Improvement,4,8,445,95.9,89.9
033043,Russia Elementary School,049817,Russia,Shelby,PO Box 8,"Russia, Ohio  45363-0008",(937) 295-3454,Vernon C. Rosenbeck,K-6,Open,Excellent,9,10,258,97.8,104.4
033050,Russia High School,049817,Russia,Shelby,PO Box 8,"Russia, Ohio  45363-0008",(937) 295-3454,Vernon C. Rosenbeck,7-12,Open,Excellent,16,16,202,97.1,106.1
033084,Rutherford B Hayes High School,043877,Delaware,Delaware,289 Euclid Ave,"Delaware, Ohio  43015-1272",(740) 833-1010,James P. Peterson,9-12,Open,Excellent,12,12,1264,93.1,100.8
033126,South Amherst Middle School,048157,Firelands,Lorain,152 W Main St,"South Amherst, Ohio  44001-2924",(440) 986-7021,Anthony C. Reaser,5-8,Open,Effective,5,9,661,94.7,90.5
033134,South Avondale Elementary School,043752,Cincinnati Public Schools,Hamilton,305 Rockdale Ave,"Cincinnati, Ohio  45229-2421",(513) 363-5500,Cathy E. Lutts,K-8,Open,Academic Emergency,1,14,389,95.2,63.2
033159,Brewster Elementary School,049841,Fairless,Stark,245 5th St SW,"Brewster, Ohio  44613-1323",(330) 767-3913,Theodore N. George,K-6,Open,Effective,7,10,283,96.1,94.3
033167,South Elementary School,045625,Upper Sandusky Exempted Village Schools,Wyandot,444 S 8th St,"Upper Sandusky, Ohio  43351-1506",(419) 294-2304,Laurie C. Vent,K-5,Open,Effective,7,8,143,97.2,96.1
033175,S C Dennis Elementary School,044917,Toronto,Jefferson,1305 Dennis Way,"Toronto, Ohio  43964-1952",(740) 537-2172,Maureen R. Taggart,2-4,Open,Effective,4,6,194,94.8,90.3
033191,James A Harmon Elementary School,044800,South-Western,Franklin,2090 Frank Rd,"Columbus, Ohio  43223-3735",(614) 801-8150,Shelli D. Miller,K-4,Open,Effective,3,6,517,95.0,94.4
033209,South Lawn Elementary School,043828,Coshocton,Coshocton,753 S Lawn Ave,"Coshocton, Ohio  43812-2549",(740) 622-3239,Mary J. Stenner,K-6,Open,Excellent,10,10,150,96.0,104.6
033217,South Lebanon Elementary School,050435,Kings,Warren,50 Ridgeview Ln,"Maineville, Ohio  45039-8021",(513) 398-8050,Randy S. Willis,K-4,Open,Excellent,6,6,329,95.4,101.9
033225,South Lincoln Elementary School,043497,Alliance,Stark,285 W Oxford St,"Alliance, Ohio  44601-2872",(330) 829-2266,Sheila J. Billheimer,"K,P",Open,Continuous Improvement,4,8,306,94.6,88
033241,South Main Elementary School,045302,Clyde-Green Springs,Sandusky,821 S Main St,"Clyde, Ohio  43410-2035",(419) 547-9868,Rod A. Mcmaster,K-4,Open,Effective,5,6,306,95.7,94.5
033258,South Mifflin Elementary School,043802,Columbus Public Schools,Franklin,2355 Middlehurst Dr,"Columbus, Ohio  43219-1303",(614) 365-6135,Judy L. Johnson,"K-5,P",Open,Academic Emergency,1,8,272,93.6,68.4
033274,South Point Elementary School,047951,South Point,Lawrence,501 Washington St,"South Point, Ohio  45680-9661",(740) 377-2756,Chris A. Mathes,K-5,Open,Effective,7,8,583,96.1,94.9
033282,South Point High School,047951,South Point,Lawrence,302 High St,"South Point, Ohio  45680-9636",(740) 377-4323,George E. York,9-12,Open,Effective,5,12,538,95.9,90.7
033290,South Point Middle School,047951,South Point,Lawrence,201 Park Ave,"South Point, Ohio  45680-9622",(740) 377-4343,Leslie R. York,6-8,Open,Continuous Improvement,3,7,446,95.7,88.3
033340,South Side Middle School,045328,Columbiana,Columbiana,720 Columbiana Waterford Rd,"Columbiana, Ohio  44408-9499",(330) 482-5354,David M. Cappuzzello,5-8,Open,Excellent,9,9,287,95.7,100.6
033399,Sabina Elementary School,046409,East Clinton,Clinton,246 W Washington St,"Sabina, Ohio  45169-1031",(937) 584-5421,Teresa A. Barton,K-5,Open,Effective,5,8,347,94.7,90.8
033431,Salem Middle School,044735,Salem,Columbiana,1200 E 6th St,"Salem, Ohio  44460-1757",(330) 332-8914,Sean P. Kirkland,7-8,Open,Effective,3,5,360,94.9,92.6
033464,Salem Elementary School,043802,Columbus Public Schools,Franklin,1040 Garvey Rd,"Columbus, Ohio  43229-4131",(614) 365-5351,Gail I. Buick,"K-5,P",Open,Continuous Improvement,3,8,361,94.9,81.7
033472,Salem High School,044735,Salem,Columbiana,1200 E 6th St,"Salem, Ohio  44460-1757",(330) 332-8905,Joseph A. Shivers,9-12,Open,Excellent,11,12,717,93.7,101
033480,Salem-Liberty Elementary School,050484,Fort Frye,Washington,10930 State Route 821,"Lower Salem, Ohio  45745-8830",(740) 585-2252,Donald O. Shue,K-6,Open,Effective,4,10,168,96.4,90.7
033498,Southern Local Elementary School,046441,Southern,Columbiana,38095E State Route 39,"Salineville, Ohio  43945-1084",(330) 679-2301,Wanda P. Navoyosky,K-6,Open,Continuous Improvement,3,10,508,94.4,88.1
033514,Saltcreek Elementary School,049080,Logan Elm,Pickaway,13190 State Route 56,"Kingston, Ohio  45644-9616",(740) 332-4212,Marsha L. Waidelich,K-6,Open,Effective,8,10,280,95.3,98.8
033522,Sanderson Elementary School,044206,Lancaster,Fairfield,1450 Marietta Rd NE,"Lancaster, Ohio  43130-8734",(740) 687-7354,Carol L. Spires,K-5,Open,Effective,9,10,238,95.6,97.8
033530,Sands Montessori Elementary School,043752,Cincinnati Public Schools,Hamilton,6421 Corbly Rd,"Cincinnati, Ohio  45230-1437",(513) 363-5000,Barry C. Thomas,"K-6,P",Open,Effective,7,10,575,96.2,97.4
033548,Chagrin Falls Intermediate Elementary School,045286,Chagrin Falls,Cuyahoga,77 E Washington St,"Chagrin Falls, Ohio  44022-3001",(440) 893-7690,Charles A. Murphy,4-6,Open,Excellent,8,8,422,96.5,104.8
033555,Sandusky High School,044743,Sandusky,Erie,2130 Hayes Ave,"Sandusky, Ohio  44870-4740",(419) 621-2743,Dan S. Poggiali,9-12,Open,Effective,7,12,1164,92.2,90.5
033563,Sandy Valley High School,049940,Sandy Valley,Stark,5362 State Route 183 NE,"Magnolia, Ohio  44643-8481",(330) 866-9371,Nicki J. Howard,7-12,Open,Effective,15,16,721,95.2,98.6
033589,Santrock Elementary School,043539,Barberton,Summit,88 19th St NW,"Barberton, Ohio  44203-7120",(330) 848-4229,Ruby L. Bell,K-5,Open,Continuous Improvement,2,8,366,94.9,87.6
033605,Sardinia Elementary School,046037,Eastern,Brown,PO Box 67,"Sardinia, Ohio  45171-0067",(937) 446-2250,Michael A. Bick,K-6,Open,Excellent,10,10,330,95.3,99.1
033613,Sardis Elementary School,048652,Switzerland Of Ohio,Monroe,PO Box 305,"Sardis, Ohio  43946-0305",(740) 483-1421,Darren L. Cook,K-8,Open,Effective,13,14,166,95.1,96.1
033621,Sauder Elementary School,049858,Jackson,Stark,7503 Mudbrook Rd NW,"Massillon, Ohio  44646-1108",(330) 830-8028,Cynthia L. Brown,"K,1-5,SN",Open,Excellent,8,8,699,96.7,107.1
033639,Crestview Elementary School,049429,Crestview Local School District,Richland,1575 State Route 96,"Ashland, Ohio  44805-9262",(419) 895-1700,Tamara A. Webb,K-3,Open,Excellent,3,3,352,95.4,101.6
033647,Saville Elementary School,048702,Mad River,Montgomery,5800 Burkhardt Rd,"Dayton, Ohio  45431-2932",(937) 259-6625,Steven M. Kandel,K-4,Open,Effective,3,6,415,95.6,92.8
033670,Saybrook Elementary School,043513,Ashtabula Area,Ashtabula,7911 Depot Rd,"Ashtabula, Ohio  44004-9487",(440) 993-2597,Valerie A. Harper,K-6,Open,Continuous Improvement,3,10,374,94.9,86.1
033688,Sayler Park Elementary School,043752,Cincinnati Public Schools,Hamilton,6700 Home City Ave,"Cincinnati, Ohio  45233-1119",(513) 363-5100,Gary J. Vale,"P,K-8",Open,Continuous Improvement,2,14,388,92.6,81
033704,Schaefer Middle School,044818,Springfield,Clark,130 S Burnett Rd,"Springfield, Ohio  45505-1403",(937) 328-2014,Kathleen S. Klosterman,6-8,Open,Academic Watch,0,7,508,92.8,77.6
033712,Schiel Prim Schl Arts Enrchmnt Elementary School,043752,Cincinnati Public Schools,Hamilton,2821 Vine St,"Cincinnati, Ohio  45219-2063",(513) 363-5200,Anthony S. Flower,K-3,Open,Continuous Improvement,1,3,402,95.3,89.6
033738,Schrop Elementary School,050062,Springfield,Summit,2215 Pickle Rd,"Akron, Ohio  44312-4223",(330) 798-1007,Lisa M. Vardon,5-6,Open,Effective,3,5,407,95.3,91.4
033746,Schumacher Academy Elementary School,043489,Akron Public Schools,Summit,1031 Greenwood Ave,"Akron, Ohio  44320-2703",(330) 873-3386,Stephanie C. Churn,K-5,Open,Academic Watch,1,8,347,95.2,74
033753,Schwab Elementary School,043752,Cincinnati Public Schools,Hamilton,4370 Beech Hill Ave,"Cincinnati, Ohio  45223-1806",(513) 363-5300,John M. Janicki,"P,K-8",Open,Academic Emergency,1,14,445,93.5,58.7
033787,Harrison Junior High School,045245,Harrison Hills,Harrison,322 W Main St,"Scio, Ohio  43988-9781",(740) 942-7600,Steve Romey,7-8,Open,Continuous Improvement,3,5,306,94.3,89.6
033811,Scioto Elementary School,049098,Teays Valley,Pickaway,20 W Scioto St,"Commercial Point, Ohio  43116-9712",(740) 983-3221,Robin N. Halley,K-5,Open,Effective,6,8,481,95.9,97.8
033837,Scioto Trail Elementary School,043802,Columbus Public Schools,Franklin,2951 S High St,"Columbus, Ohio  43207-3669",(614) 365-5440,Candace M. Nespeca,"K-5,P",Closed,Academic Watch,1,8,274,95.3,79.1
033845,William K Willis (Sjcf),060988,Department Of Youth Services,Franklin,5993 Home Rd,"Delaware, Ohio  43015-9478",(740) 881-3250,Joseph M. Cavinee,7-12,Open,NC,0,0,112,--,
033852,Republic Elementary School,049684,Seneca East,Seneca,PO Box 39,"Republic, Ohio  44867-0039",(419) 585-4291,,K-6,Open,Effective,9,10,152,95.6,97.3
033886,Scott High School,044909,Toledo,Lucas,2400 Collingwood Blvd,"Toledo, Ohio  43620-1152",(419) 671-4110,Vacant Position,9-12,Open,Academic Watch,2,12,1275,85.9,72.8
033894,Scottwood Elementary School,043802,Columbus Public Schools,Franklin,3392 Scottwood Rd,"Columbus, Ohio  43227-3564",(614) 365-6507,Rhonna R. McKibbin,"K-5,P",Open,Academic Emergency,1,8,360,95.2,66.9
033902,Scranton Elementary School,043786,Cleveland Municipal,Cuyahoga,1991 Barber Ave,"Cleveland, Ohio  44113-5135",(216) 621-2165,Mary G. Maul,K-8,Open,Academic Watch,1,14,610,91.5,71.7
033928,Seaborn Elementary School,050252,Weathersfield,Trumbull,3800 Niles Carver Rd,"Mineral Ridge, Ohio  44440-9590",(330) 652-9695,Cynthia R. Mulgrew,K-4,Open,Excellent,6,6,359,94.6,99.2
033936,North Adams Elementary School,061903,Adams County/Ohio Valley,Adams,355 Broadway St,"Seaman, Ohio  45679-9568",(937) 386-2516,Robin P. Lucas,"K-6,P",Open,Effective,7,10,657,94.1,95.4
033944,North Adams High School,061903,Adams County/Ohio Valley,Adams,96 Green Devil Dr,"Seaman, Ohio  45679-9016",(937) 386-2528,Rodney A. Wallace,7-12,Open,Effective,14,16,541,95.0,96.4
033951,Second Avenue Elementary School,043802,Columbus Public Schools,Franklin,68 E 2nd Ave,"Columbus, Ohio  43201-3526",(614) 365-5900,Todd J. Rogers,"K-5,P",Closed,Academic Watch,2,8,244,94.1,75.9
033977,Seiberling Elementary School,043489,Akron Public Schools,Summit,400 Brittain Rd,"Akron, Ohio  44305-2903",(330) 794-4204,Sharon D. Hill,K-5,Open,Continuous Improvement,2,8,519,94.6,82.2
033985,Madeira Middle School,044289,Madeira,Hamilton,527 Lila Ave,"Milford, Ohio  45150-1227",(513) 561-5555,Robert C. Kramer,5-8,Open,Excellent,9,9,469,96.4,104.9
034009,Seneca-Huron Elementary School,049684,Seneca East,Seneca,17174 Bismark Rd,"Bellevue, Ohio  44811-9513",(419) 426-9281,Cheryl L. Thomson,K-6,Open,Effective,8,10,117,96.3,95.6
034041,Seville Elementary School,048488,Cloverleaf,Medina,24 E Main St,"Seville, Ohio  44273-9196",(330) 769-3407,Robert A. Falkenberg,3-4,Open,Excellent,6,6,480,96.3,98.9
034074,Shade Elementary School,045054,West Carrollton,Montgomery,510 E Pease Ave,"West Carrollton, Ohio  45449-1359",(937) 859-5121,Kimberly L. Hall-Alt,K,Open,NC,1,1,214,96.9,
034082,Shady Lane Elementary School,043802,Columbus Public Schools,Franklin,1488 Shady Lane Rd,"Columbus, Ohio  43227-2110",(614) 365-5391,M Gayle Burris,"K-5,P",Open,Continuous Improvement,3,8,258,95.7,86.9
034090,Shadyside High School,046003,Shadyside,Belmont,3890 Lincoln Ave,"Shadyside, Ohio  43947-1319",(740) 676-3235,Lawrence P. Falbo,7-12,Open,Effective,13,16,375,95.3,95.3
034108,Shaker Hts High School,044750,Shaker Heights,Cuyahoga,15911 Aldersyde Dr,"Shaker Heights, Ohio  44120-2505",(216) 295-4200,Michael D. Griffith,9-12,Open,Effective,11,12,1805,95.7,98.7
034132,Sharon Elementary School,048496,Highland,Medina,PO Box 179,"Sharon Center, Ohio  44274-0179",(330) 239-1901,Constance A. Marzullo,K-5,Open,Excellent,8,8,452,96.5,104.7
034157,Sharonville Elementary School on the Robert E. Lucas Campus,044677,Princeton,Hamilton,3900 Cottingham Dr,"Cincinnati, Ohio  45241-1616",(513) 563-4020,Todd T. Petrey,"K-5,P",Open,Excellent,8,8,243,96.3,99.8
034173,Sharpsburg Elementary School,044578,Norwood City School District,Hamilton,4400 Smith Rd,"Norwood, Ohio  45212-3346",(513) 924-2600,Brad E. Winterod,K-6,Open,Effective,6,10,290,95.0,93.8
034181,Shaw Elementary School,047241,Beavercreek,Greene,3560 Kemp Rd,"Beavercreek, Ohio  45431-2532",(937) 429-7610,Nick Verhoff,K-5,Open,Excellent,8,8,656,95.8,104.3
034199,Shaw High School,043901,East Cleveland,Cuyahoga,15320 Euclid Ave,"East Cleveland, Ohio  44112-2806",(216) 268-6500,Sandra A. Brown,9-12,Open,Academic Watch,3,12,1254,88.8,75.7
034207,Elmwood Elementary School,045799,Shawnee,Allen,4295 Shawnee Rd,"Lima, Ohio  45806-2027",(419) 998-8090,James A. Cypher,K-2,Open,NC,1,1,576,95.1,
034215,Shawnee Middle School,045799,Shawnee,Allen,3235 Zurmehly Rd,"Lima, Ohio  45806-1434",(419) 998-8057,Anthony J. Cox,5-8,Open,Excellent,9,9,760,95.4,103.2
034231,Miller Middle School,049064,Southern,Perry,10397 State Route 155 SE,"Corning, Ohio  43730-9710",(740) 394-1173,Larry E. Hoover,5-8,Open,Continuous Improvement,1,9,324,94.6,81.5
034249,Shawnee Elementary School,045153,Xenia Community,Greene,92 E Ankeney Mill Rd,"Xenia, Ohio  45385-1818",(937) 372-5323,Karen L. Miller,K-5,Open,Continuous Improvement,3,8,283,95.5,84.1
034256,Shawnee High School,046284,Clark-Shawnee,Clark,1675 E Possum Rd,"Springfield, Ohio  45502-7947",(937) 325-9296,Nathan E. Dockter,9-12,Open,Excellent,12,12,811,95.7,102.1
034264,Preble Shawnee High School,049288,Preble Shawnee Board of Education Offices,Preble,5495 Somers Gratis Rd,"Camden, Ohio  45311-8720",(937) 787-3541,Richard R. McKee,9-12,Open,Effective,11,12,463,94.2,95
034272,Shawnee High School,045799,Shawnee,Allen,3333 Zurmehly Rd,"Lima, Ohio  45806-1312",(419) 998-8000,Don H. Wade,9-12,Open,Excellent,12,12,887,94.4,104.9
034280,Sheffield Middle School,044768,Sheffield-Sheffield Lake,Lorain,1919 Harris Rd,"Sheffield Village, Ohio  44054-2629",(440) 949-4228,David H. Riley,6-8,Open,Effective,4,7,488,95.3,91.2
034298,Shelby Middle School,044776,Shelby,Richland,16 Park Ave,"Shelby, Ohio  44875-1517",(419) 347-5451,Timothy S. Tarvin,7-8,Open,Excellent,5,5,349,96.5,98.1
034306,Shelby High School,044776,Shelby,Richland,109 W Smiley Ave,"Shelby, Ohio  44875-2112",(419) 342-5065,David A. Jones,9-12,Open,Excellent,11,12,736,95.3,101.1
034314,Shenandoah High School,048900,Noble,Noble,49346 Seneca Lake Rd,"Sarahsville, Ohio  43779-9757",(740) 732-2361,Sharon V. Miller,9-12,Open,Effective,11,12,384,94.6,97.4
034322,Shepard Elementary School,043802,Columbus Public Schools,Franklin,873 Walcutt Ave,"Columbus, Ohio  43219-2668",(614) 252-1015,,"K,P",Open,NC,1,1,13,95.2,
034330,Sheridan Elementary School,045161,Youngstown,Mahoning,3321 Hudson Ave,"Youngstown, Ohio  44511-3167",(330) 744-7966,Mary A. Schulay,K-6,Closed,Academic Watch,3,10,391,93.5,76.1
034363,Sheridan High School,049056,Northern,Perry,8660 Sheridan Dr,"Thornville, Ohio  43076-9757",(740) 743-1335,Rick L. Caldwell,9-12,Open,Effective,11,12,756,93.3,98.3
034389,Sherman Elementary School,044909,Toledo,Lucas,731 Sherman St,"Toledo, Ohio  43608-2829",(419) 243-1224,Jeff S. Williamson,K-6,Open,Academic Emergency,1,10,825,93.4,66.2
034405,Sherman Elementary School,044297,Mansfield,Richland,1138 Springmill St,"Mansfield, Ohio  44906-1525",(419) 525-6336,Paul M. Walker,"K,1-5,SN",Open,Continuous Improvement,1,8,569,96.8,73.1
034413,Sherrodsville Elementary School,047548,Conotton Valley Union,Harrison,PO Box 218,"Sherrodsville, Ohio  44675-0218",(740) 269-7772,Margaret Bower,K-6,Open,Effective,7,10,139,94.5,92.7
034439,Sherwood Middle School,043802,Columbus Public Schools,Franklin,1400 Shady Lane Rd,"Columbus, Ohio  43227-2110",(614) 365-5393,Anthony J. Wade,6-8,Open,Continuous Improvement,1,7,504,94.1,73
034447,Shiloh Middle School,049460,Plymouth-Shiloh,Richland,400 Trux St,"Plymouth, Ohio  44865-1099",(419) 687-4061,Bradley J. Turson,6-8,Open,Effective,5,7,238,95.7,90.5
034462,Shiloh Middle School,044636,Parma,Cuyahoga,2302 Grantwood Dr,"Parma, Ohio  44134-4014",(440) 885-8485,Phyllis J. Spears,7-8,Open,Continuous Improvement,3,5,731,93.8,86.6
034470,Shilohview Elementary School,048694,Trotwood-Madison City Schools,Montgomery,5600 Elgin Roof Rd,"Dayton, Ohio  45426-1816",(937) 854-0959,Jeffery A. Hall,K-6,Open,Continuous Improvement,2,10,337,94.0,80.4
034504,Shoreland Elementary School,048231,Washington Local Schools,Lucas,5650 Suder Ave,"Toledo, Ohio  43611-1418",(419) 473-8294,Scott M. Scharf,K-6,Open,Effective,8,10,480,95.7,94
034520,Shreve Elementary School,050591,Triway Local,Wayne,598 N Market St,"Shreve, Ohio  44676-9767",(330) 567-2837,Joseph R. Edinger,K-6,Open,Effective,7,10,482,95.1,97.4
034538,Shroder Paideia High School,043752,Cincinnati Public Schools,Hamilton,3500 Lumford Pl,"Cincinnati, Ohio  45213-1808",(513) 363-6900,Yenetta B. Harper,7-12,Open,Continuous Improvement,6,16,665,97.0,80.6
034546,Shumaker Elementary School,043596,Bellevue,Huron,1035 Castalia St,"Bellevue, Ohio  44811-1159",(419) 484-5040,Kimberly M. Schubert,"P,K,1-6,SN",Open,Effective,8,10,317,94.9,99.3
034553,Walter G. Nord Middle School,045195,Amherst Exempted Village,Lorain,501 Lincoln St,"Amherst, Ohio  44001-1569",(440) 988-4441,Todd D. Stuart,5-6,Open,Effective,4,5,699,95.8,98.7
034561,Sidney High School,044784,Sidney,Shelby,1215 Campbell Rd,"Sidney, Ohio  45365-2507",(937) 497-2238,Jeffrey R. Hobbs,9-12,Open,Excellent,12,12,1134,94.2,96.5
